i,word,power,danger
0,err,-0.291,0.355
0,fall,-0.288,0.330
1,crime,0.092,0.621
1,great,0.531,-0.204
2,strong,0.608,-0.112
2,rich,0.544,-0.171
3,criminal,-0.060,0.575
3,love,0.383,-0.341
4,destroy,0.079,0.634
4,infidelity,-0.164,0.503
5,murder,0.076,0.627
5,wrath,0.000,0.617
6,ill,-0.473,0.234
6,unpleasant,-0.363,0.337
7,sleep,-0.203,-0.448
7,god,0.416,-0.158
8,life,0.497,-0.209
8,despair,-0.236,0.470
9,wretch,-0.330,0.437
9,radiant,0.507,-0.119
10,serenity,0.060,-0.547
10,dead,-0.467,0.279
11,admired,0.464,-0.247
11,holy,0.107,-0.485
12,violent,0.090,0.574
12,death,-0.149,0.490
13,initiative,0.415,-0.150
13,possessed,0.178,0.395
14,monster,0.094,0.569
14,vitality,0.509,-0.245
15,monstrous,0.117,0.605
15,tormented,-0.172,0.547
16,peace,0.136,-0.550
16,greatest,0.539,-0.145
17,sorrow,-0.593,0.127
17,calm,-0.162,-0.556
18,life,0.497,-0.209
18,poverty,-0.434,0.310
19,library,-0.008,-0.458
19,books,-0.121,-0.434
20,sick,-0.494,0.223
20,holy,0.107,-0.485
21,perfect,0.493,-0.351
21,silk,-0.199,-0.462
22,rich,0.544,-0.171
22,blessing,0.318,-0.460
23,excellent,0.543,-0.264
23,opportunity,0.576,-0.134
24,cheer,0.603,-0.106
24,water,-0.076,-0.488
25,god,0.416,-0.158
25,six,-0.331,-0.248
26,meditation,-0.055,-0.470
26,little,-0.428,-0.163
27,wisdom,0.388,-0.432
27,creation,0.515,-0.241
28,alone,-0.448,-0.121
28,beautiful,0.348,-0.186
29,hospitality,0.265,-0.369
29,bed,-0.230,-0.308
30,sick,-0.494,0.223
30,small,-0.395,-0.250
31,hit,0.203,0.496
31,extremely,0.503,0.144
32,wealthy,0.506,-0.248
32,poor,-0.538,0.133
33,general,0.414,-0.237
33,embarrassment,-0.288,0.374
34,chair,-0.331,-0.342
34,gone,-0.457,-0.049
